experiment,exp_type,error,time
0,linear,1.8731190428580424,135.257238864899
1,linear,1.8841389465111547,134.665697097778
2,linear,1.8623851511489755,142.205567836761
3,linear,1.8397052404407377,143.472681999207
4,linear,1.92820261322843,135.851469993591
