experiment,exp_type,error,time
0,gpboost_excl,0.13233982706570016,4.97899699211121
1,gpboost_excl,0.12411958900620537,6.94319605827332
2,gpboost_excl,0.11558812510021603,7.07691502571106
3,gpboost_excl,0.1230321507631512,7.53709602355957
4,gpboost_excl,0.12667226917302588,8.85226583480835
