experiment,exp_type,error,time
0,boost_cont,1.0389772430487179,1.55534696578979
1,boost_cont,1.065043882156725,2.04631209373474
2,boost_cont,1.0202669497531824,1.70723390579224
3,boost_cont,1.0609484082936815,1.35948014259338
4,boost_cont,1.0564162373897104,1.47983288764954
