experiment,exp_type,error,time
0,boost_cont,2.3796399657899254,1.19022083282471
1,boost_cont,2.377349122247749,1.55980515480042
2,boost_cont,2.363760503863249,1.57304215431213
3,boost_cont,2.3107939647647298,1.62643909454346
4,boost_cont,2.405752015401322,1.77379989624023
