experiment,exp_type,error,time
0,linear,0.3314380104096011,11.1603791713715
1,linear,0.3647235286849321,20.0015029907227
2,linear,0.28442218238680955,24.740807056427
3,linear,0.36863458690335005,19.0724158287048
4,linear,0.2557707704088102,22.8514420986176
